Caption,Description,Identifying Number,Install Date,Install Location,Install State,Name,Package Cache,SKU Number,Vendor,Version
Microsoft Visual Studio Tools for Applications 2.0 - ENU,Microsoft Visual Studio Tools for Applications 2.0 - ENU,{AA4A4B2C-0465-3CF8-BA76-27A027D8ACAB},,,5,Microsoft Visual Studio Tools for Applications 2.0 - ENU,C:\Windows\Installer\e17f8e.msi,,Microsoft Corporation,9.0.30729
tools-windows,tools-windows,{FFD9383C-01D5-4897-A954-43AF599AED30},,,5,tools-windows,C:\Windows\Installer\73c6e6.msi,,VMware, Inc.,8.1.3.9911
Microsoft Windows SDK for Visual Studio 2008 Headers and Libraries,Microsoft Windows SDK for Visual Studio 2008 Headers and Libraries,{842FAF7C-50EF-4463-9B8F-6222E1384D7D},,,5,Microsoft Windows SDK for Visual Studio 2008 Headers and Libraries,C:\Windows\Installer\a24d2.msi,,Microsoft Corporation,6.1.5288.17011
Windows Mobile 5.0 SDK R2 for Smartphone,Windows Mobile 5.0 SDK R2 for Smartphone,{9656F3AC-6BA9-43F0-ABED-F214B5DAB27B},,,5,Windows Mobile 5.0 SDK R2 for Smartphone,C:\Windows\Installer\a2471.msi,,Microsoft Corporation,5.00.1700.5.14343.06
Microsoft SQL Server 2008 Analysis Services,Microsoft SQL Server 2008 Analysis Services,{DAA8590D-D93E-4697-9CBE-D96A7590A8E3},,,5,Microsoft SQL Server 2008 Analysis Services,C:\Windows\Installer\e17f3e.msi,,Microsoft Corporation,10.0.1600.22
Visual C++ 2008 x86 Runtime - (v9.0.30729),Visual C++ 2008 x86 Runtime - (v9.0.30729),{F333A33D-125C-32A2-8DCE-5C5D14231E27},,,5,Visual C++ 2008 x86 Runtime - (v9.0.30729),c:\Windows\Installer\49789e.msi,,Microsoft Corporation,9.0.30729
Microsoft SQL Server Database Publishing Wizard 1.3,Microsoft SQL Server Database Publishing Wizard 1.3,{9A33B83D-FFC4-44CF-BEEF-632DECEF2FCD},,,5,Microsoft SQL Server Database Publishing Wizard 1.3,c:\Windows\Installer\497f54.msi,,Microsoft Corporation,10.0.1600.22
Microsoft SQL Server Native Client,Microsoft SQL Server Native Client,{BD68F46D-8A82-4664-8E68-F87C55BDEFD4},,c:\Program Files\Microsoft SQL Server\,5,Microsoft SQL Server Native Client,c:\Windows\Installer\1f6a2aa.msi,,Microsoft Corporation,9.00.4035.00
Microsoft Silverlight,Microsoft Silverlight,{89F4137D-6C26-4A84-BDB8-2E5A4BB71E00},,c:\Program Files\Microsoft Silverlight\,5,Microsoft Silverlight,c:\Windows\Installer\1033dd3.msi,,Microsoft Corporation,4.0.50524.0
32 Bit HP CIO Components Installer,32 Bit HP CIO Components Installer,{0868BB9D-5EA0-40AF-A1CC-A38ED4E5BC67},,,5,32 Bit HP CIO Components Installer,C:\Windows\Installer\788556.msi,,Hewlett-Packard,4.1.1
Microsoft Office Communicator 2007 R2,Microsoft Office Communicator 2007 R2,{E84D1C9D-6669-4156-992B-17557D64F1D3},,C:\Program Files\Microsoft Office Communicator\,5,Microsoft Office Communicator 2007 R2,C:\Windows\Installer\2df3a.msi,,Microsoft Corporation,3.5.6907.196
tools-freebsd,tools-freebsd,{003BFBBD-6C67-419E-A24D-0DCAFC3A5249},,,5,tools-freebsd,C:\Windows\Installer\73c6d2.msi,,VMware, Inc.,8.1.3.9911
Microsoft SQL Server 2008 Browser,Microsoft SQL Server 2008 Browser,{C688457E-03FD-4941-923B-A27F4D42A7DD},,,5,Microsoft SQL Server 2008 Browser,C:\Windows\Installer\e17f09.msi,,Microsoft Corporation,10.0.1600.22
Microsoft SQL Server Setup Support Files (English),Microsoft SQL Server Setup Support Files (English),{53F5C3EE-05ED-4830-994B-50B2F0D50FCE},,c:\Program Files\Microsoft SQL Server\90\Setup Bootstrap\,5,Microsoft SQL Server Setup Support Files (English),c:\Windows\Installer\1f6a391.msi,,Microsoft Corporation,9.00.4035.00
Microsoft SQL Server 2008 Client Tools,Microsoft SQL Server 2008 Client Tools,{60D46DEE-5221-47AA-B978-BA25C5D9F560},,,5,Microsoft SQL Server 2008 Client Tools,C:\Windows\Installer\e18063.msi,,Microsoft Corporation,10.0.1600.22
Microsoft SQL Server 2008 Policies,Microsoft SQL Server 2008 Policies,{01C5A10F-AD9B-405B-853A-6659841A1242},,,5,Microsoft SQL Server 2008 Policies,C:\Windows\Installer\e17efe.msi,,Microsoft Corporation,10.0.1600.22
Microsoft SQL Server 2008 BI Development Studio,Microsoft SQL Server 2008 BI Development Studio,{AC54DC1F-EDA7-448C-BA4C-218A92F5E985},,,5,Microsoft SQL Server 2008 BI Development Studio,C:\Windows\Installer\e18129.msi,,Microsoft Corporation,10.0.1600.22
Microsoft SQL Server 2008 Analysis Services,Microsoft SQL Server 2008 Analysis Services,{6249567F-65C3-4EE7-B023-E4FA035B0520},,,5,Microsoft SQL Server 2008 Analysis Services,C:\Windows\Installer\e17f43.msi,,Microsoft Corporation,10.0.1600.22
Microsoft Windows SDK for Visual Studio 2008 SP1 Tools,Microsoft Windows SDK for Visual Studio 2008 SP1 Tools,{CAA376AF-0DE8-4FCA-942E-C6AC579B94B3},,,5,Microsoft Windows SDK for Visual Studio 2008 SP1 Tools,C:\Windows\Installer\a24cd.msi,,Microsoft Corporation,6.1.5294.17011
Microsoft Visual Studio 2008 Shell (integrated mode) - ENU,Microsoft Visual Studio 2008 Shell (integrated mode) - ENU,{BA0C9AAF-1327-3F06-B49C-349B4BE8F740},,,5,Microsoft Visual Studio 2008 Shell (integrated mode) - ENU,C:\Windows\Installer\e180c4.msi,,Microsoft Corporation,9.0.30729
Microsoft SQL Server 2008 Integration Services,Microsoft SQL Server 2008 Integration Services,{AEB03FAF-90EB-4B4F-BA32-9C4DDE2C9804},,,5,Microsoft SQL Server 2008 Integration Services,C:\Windows\Installer\e17fc7.msi,,Microsoft Corporation,10.0.1600.22
Microsoft SQL Server 2008 Client Tools,Microsoft SQL Server 2008 Client Tools,{4D28EFCF-5999-44D2-8D4E-AC643E76C33F},,,5,Microsoft SQL Server 2008 Client Tools,C:\Windows\Installer\e18055.msi,,Microsoft Corporation,10.0.1600.22
