Caption,Description,Identifying Number,Install Date,Install Location,Install State,Name,Package Cache,SKU Number,Vendor,Version
Microsoft Office Proofing (English) 2007,Microsoft Office Proofing (English) 2007,{90120000-002C-0409-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office Proofing (English) 2007,C:\Windows\Installer\166dd.msi,,Microsoft Corporation,12.0.4518.1014
Microsoft Office Shared MUI (English) 2007,Microsoft Office Shared MUI (English) 2007,{90120000-006E-0409-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office Shared MUI (English) 2007,C:\Windows\Installer\166a4.msi,,Microsoft Corporation,12.0.6425.1000
Microsoft Office Proof (English) 2007,Microsoft Office Proof (English) 2007,{90120000-001F-0409-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office Proof (English) 2007,C:\Windows\Installer\166d8.msi,,Microsoft Corporation,12.0.6425.1000
Microsoft Office Proof (Spanish) 2007,Microsoft Office Proof (Spanish) 2007,{90120000-001F-0C0A-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office Proof (Spanish) 2007,C:\Windows\Installer\166cc.msi,,Microsoft Corporation,12.0.6425.1000
Microsoft Office Proof (French) 2007,Microsoft Office Proof (French) 2007,{90120000-001F-040C-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office Proof (French) 2007,C:\Windows\Installer\166d2.msi,,Microsoft Corporation,12.0.6425.1000
Microsoft Application Error Reporting,Microsoft Application Error Reporting,{95120000-00B9-0409-0000-0000000FF1CE},,,5,Microsoft Application Error Reporting,C:\Windows\Installer\e17eb9.msi,,Microsoft Corporation,12.0.6012.5000
Visual Studio Tools for the Office system 3.0 Runtime,Visual Studio Tools for the Office system 3.0 Runtime,{8FB53850-246A-3507-8ADE-0060093FFEA6},,,5,Visual Studio Tools for the Office system 3.0 Runtime,C:\Windows\Installer\a2455.msi,,Microsoft Corporation,9.0.30729
Microsoft Sync Framework Runtime v1.0 (x86),Microsoft Sync Framework Runtime v1.0 (x86),{A8BD5A60-E843-46DC-8271-ABF20756BE0F},,,5,Microsoft Sync Framework Runtime v1.0 (x86),C:\Windows\Installer\e17f03.msi,,Microsoft Corporation,1.0.1215.0
Visual C++ 2008 x86 Runtime - (v9.0.30729.4148),Visual C++ 2008 x86 Runtime - (v9.0.30729.4148),{7B33F480-496D-334A-BAC2-205DEC0CBC2D},,,5,Visual C++ 2008 x86 Runtime - (v9.0.30729.4148),c:\Windows\Installer\1f6a572.msi,,Microsoft Corporation,9.0.30729.4148
Microsoft SQL Server 2008 Native Client,Microsoft SQL Server 2008 Native Client,{D9D937B0-E842-4130-9588-B948E876904A},,,5,Microsoft SQL Server 2008 Native Client,C:\Windows\Installer\e17ecd.msi,,Microsoft Corporation,10.0.1600.22
Microsoft SQL Server 2008 Reporting Services,Microsoft SQL Server 2008 Reporting Services,{49E98741-B7A4-4A44-A536-6AFCA23106FE},,,5,Microsoft SQL Server 2008 Reporting Services,C:\Windows\Installer\e17f55.msi,,Microsoft Corporation,10.0.1600.22
WinZip 14.5,WinZip 14.5,{CD95F661-A5C4-44F5-A6AA-ECDD91C240BD},,C:\Program Files\WinZip\,5,WinZip 14.5,C:\Windows\Installer\5a92c1.msi,,WinZip Computing, S.L. ,14.5.9095
Visual C++ 2008 IA64 Runtime - (v9.0.30729),Visual C++ 2008 IA64 Runtime - (v9.0.30729),{22E23C71-C27A-3F30-8849-BB6129E50679},,,5,Visual C++ 2008 IA64 Runtime - (v9.0.30729),c:\Windows\Installer\4978a8.msi,,Microsoft Corporation,9.0.30729
Visual C++ 2008 x64 Runtime - (v9.0.30729),Visual C++ 2008 x64 Runtime - (v9.0.30729),{0DF3AE91-E533-3960-8516-B23737F8B7A2},,,5,Visual C++ 2008 x64 Runtime - (v9.0.30729),c:\Windows\Installer\4978a3.msi,,Microsoft Corporation,9.0.30729
Microsoft Windows SDK for Visual Studio 2008 SP1 Win32 Tools,Microsoft Windows SDK for Visual Studio 2008 SP1 Win32 Tools,{B268E9A1-04A9-40D0-9866-846BE2B74BA7},,,5,Microsoft Windows SDK for Visual Studio 2008 SP1 Win32 Tools,C:\Windows\Installer\a24d7.msi,,Microsoft Corporation,6.1.5294.17011
Configuration Manager Client,Configuration Manager Client,{2609EDF1-34C4-4B03-B634-55F3B3BC4931},,,5,Configuration Manager Client,C:\Windows\Installer\1b221c3.msi,,Microsoft Corporation,4.00.6487.2000
Microsoft SQL Server 2008 Management Objects,Microsoft SQL Server 2008 Management Objects,{F5E87B12-3C27-452F-8E78-21D42164FD83},,,5,Microsoft SQL Server 2008 Management Objects,C:\Windows\Installer\497f40.msi,,Microsoft Corporation,10.0.1600.22
Microsoft Device Emulator version 3.0 - ENU,Microsoft Device Emulator version 3.0 - ENU,{B32E7732-B2FB-3FD0-81AC-6025B1104C66},,C:\Program Files\Microsoft Device Emulator\1.0\,5,Microsoft Device Emulator version 3.0 - ENU,C:\Windows\Installer\a2476.msi,,Microsoft Corporation,9.0.21022
Microsoft SQL Server 2008 Reporting Services,Microsoft SQL Server 2008 Reporting Services,{23F70562-02F4-4805-ACF5-6E52BAD167C2},,,5,Microsoft SQL Server 2008 Reporting Services,C:\Windows\Installer\e17f50.msi,,Microsoft Corporation,10.0.1600.22
Microsoft SQL Server 2008 Full text search,Microsoft SQL Server 2008 Full text search,{06A7EA72-0F00-4D53-A81C-A5D925711141},,,5,Microsoft SQL Server 2008 Full text search,C:\Windows\Installer\e17f22.msi,,Microsoft Corporation,10.0.1600.22
Microsoft Sync Services for ADO.NET v2.0 (x86),Microsoft Sync Services for ADO.NET v2.0 (x86),{C89B00A2-B72A-4935-96FC-38796E9554EC},,,5,Microsoft Sync Services for ADO.NET v2.0 (x86),C:\Windows\Installer\e17f5f.msi,,Microsoft Corporation,2.0.1215.0
Microsoft SQL Server 2008 BI Development Studio,Microsoft SQL Server 2008 BI Development Studio,{275ABBA2-4817-4443-9AB8-ED43CA9AAA17},,,5,Microsoft SQL Server 2008 BI Development Studio,C:\Windows\Installer\e1812f.msi,,Microsoft Corporation,10.0.1600.22
Microsoft Network Monitor: NetworkMonitor Parsers 3.4,Microsoft Network Monitor: NetworkMonitor Parsers 3.4,{5A1A9AB2-2F68-462D-A67D-7C855DFF5EEB},,,5,Microsoft Network Monitor: NetworkMonitor Parsers 3.4,C:\Windows\Installer\481b2.msi,,Microsoft Corporation,3.4.2350.0
VMware Workstation,VMware Workstation,{A3FF5CB2-FB35-4658-8751-9EDE1D65B3AA},,C:\Program Files\VMware\VMware Workstation\,5,VMware Workstation,C:\Windows\Installer\73c6cd.msi,,VMware, Inc.,7.0.0.9911
Microsoft SQL Server 2008 Common Files,Microsoft SQL Server 2008 Common Files,{4A6F34E2-09E5-4616-B227-4A26A488A6F9},,,5,Microsoft SQL Server 2008 Common Files,C:\Windows\Installer\e17ec3.msi,,Microsoft Corporation,10.0.1600.22
Microsoft SQL Server Compact 3.5 SP1 Query Tools English,Microsoft SQL Server Compact 3.5 SP1 Query Tools English,{64CDE8F2-3791-46F5-BAD2-72FFF5252FAB},,,5,Microsoft SQL Server Compact 3.5 SP1 Query Tools English,C:\Windows\Installer\e17edc.msi,,Microsoft Corporation,3.5.5692.0
OGA Notifier 2.0.0048.0,OGA Notifier 2.0.0048.0,{B2544A03-10D0-4E5E-BA69-0362FFC20D18},,,5,OGA Notifier 2.0.0048.0,C:\Windows\Installer\47e76.msi,,Microsoft Corporation,2.0.0048.0
Crystal Reports,Crystal Reports,{7699B723-9718-41DE-8C18-549F341C02CE},,,5,Crystal Reports,C:\Windows\Installer\1ae1aec.msi,,Seagate Software, Inc.,8.5.0.2175
Windows Mobile 5.0 SDK R2 for Pocket PC,Windows Mobile 5.0 SDK R2 for Pocket PC,{6C9F6D23-E9AD-43C9-B43A-011562AAF876},,,5,Windows Mobile 5.0 SDK R2 for Pocket PC,C:\Windows\Installer\a246c.msi,,Microsoft Corporation,5.00.1700.5.14343.06
Microsoft SQL Server 2008 Database Engine Services,Microsoft SQL Server 2008 Database Engine Services,{B5153233-9AEE-4CD4-9D2C-4FAAC870DBE2},,,5,Microsoft SQL Server 2008 Database Engine Services,C:\Windows\Installer\e17f18.msi,,Microsoft Corporation,10.0.1600.22
Microsoft SQL Server Compact 3.5 SP1 Design Tools English,Microsoft SQL Server Compact 3.5 SP1 Design Tools English,{0C19D563-5F25-4621-BF10-01F741BD283F},,,5,Microsoft SQL Server Compact 3.5 SP1 Design Tools English,C:\Windows\Installer\497f7c.msi,,Microsoft Corporation,3.5.5692.0
Microsoft SQL Server 2008 Books Online (English),Microsoft SQL Server 2008 Books Online (English),{3431A7A3-6287-46B0-8AF1-BE2452A1FE62},,,5,Microsoft SQL Server 2008 Books Online (English),C:\Windows\Installer\e17ef9.msi,,Microsoft Corporation,10.0.1600.22
